Date,Country_Code,No_Of_Confirmed,New_Confirmed,No_Of_Death,New_Death,Total_Recovered,Active_Cases,Serious_Critical,Total_Cases_1M_pop,Death_Cases_1M_pop,Test_1M pop,Proviance_Code,System_Date
28-04-2020,Dominican Republic,6293.0,,282.0,,993.0,5018.0,144.0,22498.0,26.0,2074.0,North America,1588052500957
28-04-2020,Panama,6021.0,242.0,167.0,2.0,455.0,5399.0,89.0,27834.0,39.0,6451.0,North America,1588052500957
28-04-2020,Bangladesh,5913.0,,152.0,,131.0,5630.0,1.0,50401.0,0.9,306.0,Asia,1588052500957
28-04-2020,Malaysia,5820.0,,99.0,,3957.0,1764.0,37.0,144686.0,3.0,4470.0,Asia,1588052500957
28-04-2020,Colombia,5597.0,,253.0,,1210.0,4134.0,118.0,90899.0,5.0,1786.0,South America,1588052500957
28-04-2020,South Africa,4793.0,,90.0,,1473.0,3230.0,36.0,178470.0,2.0,3009.0,Africa,1588052500957
28-04-2020,Egypt,4782.0,,337.0,,1236.0,3209.0,,90000.0,3.0,879.0,Africa,1588052500957
28-04-2020,Finland,4695.0,,193.0,,2500.0,2002.0,56.0,82437.0,35.0,14878.0,Europe,1588052500957
28-04-2020,Morocco,4120.0,,162.0,,695.0,3263.0,1.0,29254.0,4.0,793.0,Africa,1588052500957
28-04-2020,Argentina,4003.0,,197.0,,1140.0,2666.0,144.0,51900.0,4.0,1148.0,South America,1588052500957
28-04-2020,Luxembourg,3729.0,,88.0,,3123.0,518.0,20.0,39102.0,141.0,62465.0,Europe,1588052500957
28-04-2020,Algeria,3517.0,,432.0,,1558.0,1527.0,40.0,6500.0,10.0,148.0,Africa,1588052500957
28-04-2020,Moldova,3481.0,,102.0,,925.0,2454.0,212.0,11763.0,25.0,2916.0,Europe,1588052500957
28-04-2020,Kuwait,3288.0,,22.0,,1012.0,2254.0,64.0,179000.0,5.0,41915.0,Asia,1588052500957
28-04-2020,Thailand,2938.0,7.0,54.0,2.0,2652.0,232.0,61.0,178083.0,0.8,2551.0,Asia,1588052500957
28-04-2020,Kazakhstan,2860.0,25.0,25.0,,725.0,2110.0,35.0,205560.0,1.0,10948.0,Asia,1588052500957
28-04-2020,Bahrain,2723.0,,8.0,,1218.0,1497.0,2.0,117374.0,5.0,68980.0,Asia,1588052500957
28-04-2020,Hungary,2649.0,66.0,291.0,11.0,516.0,1842.0,61.0,67172.0,30.0,6953.0,Europe,1588052500957
28-04-2020,Greece,2534.0,,136.0,,577.0,1821.0,43.0,66094.0,13.0,6341.0,Europe,1588052500957
28-04-2020,Oman,2049.0,,10.0,,364.0,1675.0,3.0,,2.0,,Asia,1588052500957
28-04-2020,Croatia,2039.0,,59.0,,1166.0,814.0,21.0,32817.0,14.0,7994.0,Europe,1588052500957
28-04-2020,Uzbekistan,1924.0,20.0,8.0,,892.0,1024.0,8.0,242536.0,0.2,7247.0,Asia,1588052500957
28-04-2020,Iraq,1847.0,,88.0,,1286.0,473.0,,73782.0,2.0,1834.0,Asia,1588052500957
28-04-2020,Armenia,1808.0,,29.0,,848.0,931.0,10.0,18547.0,10.0,6259.0,Asia,1588052500957
28-04-2020,Iceland,1792.0,,10.0,,1624.0,158.0,1.0,46377.0,29.0,135906.0,Europe,1588052500957
28-04-2020,Cameroon,1705.0,,58.0,,805.0,842.0,12.0,,2.0,,Africa,1588052500957
28-04-2020,Afghanistan,1703.0,,57.0,,220.0,1426.0,7.0,8694.0,1.0,223.0,Asia,1588052500957
28-04-2020,Azerbaijan,1678.0,,22.0,,1162.0,494.0,15.0,128807.0,2.0,12704.0,Asia,1588052500957
28-04-2020,Estonia,1647.0,,50.0,,233.0,1364.0,7.0,48406.0,38.0,36491.0,Europe,1588052500957
28-04-2020,Bosnia and Herzegovina,1565.0,,60.0,,659.0,846.0,4.0,26822.0,18.0,8175.0,Europe,1588052500957
28-04-2020,Ghana,1550.0,,11.0,,155.0,1384.0,4.0,100622.0,0.4,3238.0,Africa,1588052500957
28-04-2020,New Zealand,1472.0,3.0,19.0,,1214.0,239.0,1.0,126066.0,4.0,26143.0,Australia/Oceania,1588052500957
28-04-2020,Lithuania,1449.0,,41.0,,474.0,934.0,17.0,106775.0,15.0,39223.0,Europe,1588052500957
28-04-2020,Slovenia,1402.0,,83.0,,221.0,1098.0,22.0,49607.0,40.0,23862.0,Europe,1588052500957
28-04-2020,North Macedonia,1399.0,,65.0,,553.0,781.0,13.0,15120.0,31.0,7257.0,Europe,1588052500957
28-04-2020,Cuba,1389.0,,56.0,,525.0,808.0,12.0,39828.0,5.0,3516.0,North America,1588052500957
28-04-2020,Bulgaria,1387.0,24.0,58.0,,222.0,1107.0,41.0,27000.0,8.0,3886.0,Europe,1588052500957
28-04-2020,Slovakia,1381.0,,18.0,,403.0,960.0,7.0,74099.0,3.0,13572.0,Europe,1588052500957
28-04-2020,Nigeria,1337.0,,40.0,,255.0,1042.0,2.0,10918.0,0.2,53.0,Africa,1588052500957
28-04-2020,Ivory Coast,1164.0,,14.0,,499.0,651.0,,,0.5,,Africa,1588052500957
28-04-2020,Guinea,1163.0,,7.0,,246.0,910.0,,,0.5,,Africa,1588052500957
28-04-2020,Hong Kong,1038.0,,4.0,,787.0,247.0,4.0,145640.0,0.5,19426.0,Asia,1588052500957
28-04-2020,Djibouti,1035.0,,2.0,,477.0,556.0,,12250.0,2.0,12399.0,Africa,1588052500957
28-04-2020,Bolivia,1014.0,64.0,53.0,3.0,98.0,863.0,3.0,5791.0,5.0,496.0,South America,1588052500957
28-04-2020,Tunisia,967.0,,39.0,,279.0,649.0,18.0,21081.0,3.0,1784.0,Africa,1588052500957
28-04-2020,Cyprus,822.0,,15.0,,148.0,659.0,15.0,50220.0,12.0,41595.0,Asia,1588052500957
28-04-2020,Latvia,818.0,,13.0,,267.0,538.0,5.0,49235.0,7.0,26103.0,Europe,1588052500957
28-04-2020,Andorra,743.0,,40.0,,385.0,318.0,17.0,1673.0,518.0,21653.0,Europe,1588052500957
28-04-2020,Albania,736.0,,28.0,,422.0,286.0,4.0,7491.0,10.0,2603.0,Europe,1588052500957
28-04-2020,Senegal,736.0,,9.0,,284.0,443.0,1.0,466.0,0.5,28.0,Africa,1588052500957
28-04-2020,,721.0,,15.0,,645.0,61.0,4.0,,,,,1588052500957
28-04-2020,Diamond Princess,712.0,,13.0,,645.0,54.0,4.0,,,,,1588052500957
28-04-2020,Lebanon,710.0,,24.0,,145.0,541.0,44.0,29367.0,4.0,4303.0,Asia,1588052500957
28-04-2020,Niger,701.0,,29.0,,385.0,287.0,,5013.0,1.0,207.0,Africa,1588052500957
28-04-2020,Costa Rica,697.0,,6.0,,287.0,404.0,8.0,12670.0,1.0,2487.0,North America,1588052500957
28-04-2020,Kyrgyzstan,695.0,,8.0,,395.0,292.0,13.0,45627.0,1.0,6994.0,Asia,1588052500957
28-04-2020,Honduras,661.0,,61.0,,79.0,521.0,10.0,3643.0,6.0,368.0,North America,1588052500957
28-04-2020,Burkina Faso,635.0,,42.0,,469.0,124.0,,,2.0,,Africa,1588052500957
28-04-2020,Uruguay,620.0,14.0,15.0,,386.0,219.0,11.0,17505.0,4.0,5039.0,South America,1588052500957
28-04-2020,Sri Lanka,588.0,,7.0,,126.0,455.0,2.0,15240.0,0.3,712.0,Asia,1588052500957
28-04-2020,San Marino,538.0,,41.0,,64.0,433.0,4.0,2082.0,1208.0,61360.0,Europe,1588052500957
28-04-2020,Guatemala,530.0,30.0,15.0,,49.0,466.0,5.0,7200.0,0.8,402.0,North America,1588052500957
28-04-2020,Channel Islands,525.0,,35.0,,352.0,138.0,,5342.0,201.0,30725.0,Europe,1588052500957
28-04-2020,Georgia,497.0,,6.0,,156.0,335.0,6.0,11504.0,2.0,2884.0,Asia,1588052500957
28-04-2020,Somalia,480.0,,26.0,,10.0,444.0,2.0,,2.0,,Africa,1588052500957
28-04-2020,DRC,459.0,,28.0,,50.0,381.0,,,0.3,,Africa,1588052500957
28-04-2020,Malta,450.0,,4.0,,286.0,160.0,1.0,29456.0,9.0,66712.0,Europe,1588052500957
28-04-2020,Jordan,449.0,,7.0,,342.0,100.0,5.0,63737.0,0.7,6247.0,Asia,1588052500957
28-04-2020,Taiwan,429.0,,6.0,,290.0,133.0,,61684.0,0.3,2590.0,Asia,1588052500957
28-04-2020,Réunion,418.0,,,,300.0,118.0,2.0,,,,Africa,1588052500957
28-04-2020,Mali,408.0,,23.0,,113.0,272.0,,2172.0,1.0,107.0,Africa,1588052500957
28-04-2020,Mayotte,401.0,,4.0,,144.0,253.0,4.0,2500.0,15.0,9164.0,Africa,1588052500957
28-04-2020,Jamaica,364.0,14.0,7.0,,29.0,328.0,3.0,3621.0,2.0,1223.0,North America,1588052500957
28-04-2020,Kenya,363.0,,14.0,,114.0,235.0,2.0,17992.0,0.3,335.0,Africa,1588052500957
28-04-2020,Palestine,342.0,,2.0,,83.0,257.0,,27000.0,0.4,5293.0,Asia,1588052500957
28-04-2020,Mauritius,334.0,,10.0,,302.0,22.0,3.0,14445.0,8.0,11358.0,Africa,1588052500957
28-04-2020,Venezuela,329.0,,10.0,,142.0,177.0,3.0,440966.0,0.4,15507.0,South America,1588052500957
28-04-2020,El Salvador,323.0,,8.0,,89.0,226.0,4.0,20109.0,1.0,3100.0,North America,1588052500957
28-04-2020,Montenegro,321.0,,7.0,,189.0,125.0,7.0,5085.0,11.0,8096.0,Europe,1588052500957
28-04-2020,Isle of Man,308.0,,20.0,,248.0,40.0,22.0,2903.0,235.0,34140.0,Europe,1588052500957
28-04-2020,Tanzania,299.0,,10.0,,48.0,241.0,7.0,,0.2,,Africa,1588052500957
28-04-2020,Sudan,275.0,,22.0,,21.0,232.0,,,0.5,,Africa,1588052500957
28-04-2020,Vietnam,270.0,,,,225.0,45.0,8.0,212965.0,,2188.0,Asia,1588052500957
28-04-2020,Equatorial Guinea,258.0,,1.0,,9.0,248.0,,854.0,0.7,609.0,Africa,1588052500957
28-04-2020,Paraguay,230.0,2.0,9.0,,95.0,126.0,1.0,7925.0,1.0,1111.0,South America,1588052500957
28-04-2020,Maldives,226.0,,,,17.0,209.0,2.0,5296.0,,9798.0,Asia,1588052500957
